sample_id,river,river_label,setting,tol_multiplier,min_pairs,delta_s_over_W
34,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.222403
35,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.307015
36,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.215062
37,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.279399
38,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.181815
39,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.210232
40,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.278859
41,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.303231
42,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.277712
43,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.264796
44,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.25645
45,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.203467
46,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.237607
47,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.249271
48,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.317571
49,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.285463
50,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.190663
51,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284584
52,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.252671
53,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.239539
54,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.297525
55,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.316395
56,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.311908
57,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.232235
58,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.256085
59,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284907
60,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.3139
61,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248437
62,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.261645
63,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.220215
64,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.216171
65,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306564
66,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.331031
67,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.26676
68,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.315159
69,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.286274
70,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.24097
71,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.286263
72,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.339212
73,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.268388
74,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.340409
75,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.152111
76,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306986
77,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273917
78,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.256545
79,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274129
80,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.180559
81,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.260115
82,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.28607
83,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.336505
84,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.246678
85,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233618
86,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.247421
87,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.311193
88,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284794
89,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.246161
90,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.293097
91,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274368
92,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.313589
93,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.238408
94,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.255255
95,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.252355
96,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.204142
97,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.283325
98,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.281747
99,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27023
100,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.259444
101,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.206308
102,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.251071
103,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.254578
104,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233898
105,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.262742
106,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.288182
107,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.354878
108,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.277856
109,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.28159
110,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.26665
111,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.183655
112,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.268807
113,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27271
114,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.380846
115,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.261344
116,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.28357
117,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.268438
118,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.217409
119,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.321427
120,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.303837
121,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.305596
122,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.229078
123,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.333126
124,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.206917
125,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.296409
126,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.368571
127,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.225426
128,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.244517
129,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274484
130,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.247344
131,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.20022
132,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273085
133,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.222196
134,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.291312
135,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.228626
136,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.339747
137,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.234754
138,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.255507
139,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306608
140,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.214611
141,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280236
142,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.328821
143,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.197663
144,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.278309
145,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.281695
146,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.305182
147,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.214337
148,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.210579
149,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.293487
150,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.283364
151,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.281272
152,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.28559
153,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.239399
154,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280451
155,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.283188
156,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.237854
157,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.35396
158,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.291322
159,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.216391
160,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.299545
161,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.226139
162,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.305419
163,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.322137
164,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233069
165,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.313352
166,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.288575
167,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306993
168,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.355356
169,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.258958
170,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.236082
171,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.229972
172,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233289
173,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.26653
174,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.285352
175,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.282451
176,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.307223
177,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.270585
178,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.335409
179,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.25809
180,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.392408
181,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.298155
182,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.231428
183,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.22181
184,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.291711
185,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.259944
186,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.30213
187,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.291296
188,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.266723
189,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.231894
190,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.201832
191,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.249907
192,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.308538
193,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.279634
194,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.213942
195,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.277793
196,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.287339
197,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.230226
198,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.276918
199,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.272619
200,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.218566
201,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.2861
202,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.295235
203,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.318737
204,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.317421
205,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.208005
206,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.227798
207,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.293177
208,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.29312
209,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.293177
210,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.443373
211,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.29569
212,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.3211
213,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.31293
214,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.299313
215,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.255813
216,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.304154
217,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.235223
218,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.259343
219,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248159
220,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273684
221,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.37416
222,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.185973
223,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.300882
224,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.197428
225,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248763
226,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.319003
227,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.272893
228,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.221501
229,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.237811
230,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.300582
231,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.237134
232,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.279741
233,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.272051
234,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.240678
235,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.366477
236,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.298526
237,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.178869
238,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27839
239,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.24022
240,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.30836
241,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.234337
242,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.264837
243,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.292724
244,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.308959
245,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.215987
246,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.254947
247,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248627
248,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.2406
249,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.349445
250,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.288224
251,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.21326
252,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.311304
253,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.365497
254,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.316461
255,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.201628
256,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248209
257,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.327011
258,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.238155
259,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.289972
260,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.304859
261,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.228288
262,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.267321
263,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.124143
264,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.223903
265,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.258634
266,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.21385
267,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.343459
268,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.205644
269,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.250198
270,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.275883
271,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.334857
272,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.205386
273,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.322342
274,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27046
275,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.225832
276,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.290795
277,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.278958
278,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.24299
279,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273141
280,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.252661
281,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.275108
282,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.299796
283,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.341371
284,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.214298
285,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.365987
286,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.182156
287,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.26317
288,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.296474
289,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.282645
290,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.241979
291,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.260634
292,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.247815
293,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.243479
294,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.308232
295,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.286066
296,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.238819
297,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.310482
298,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.283828
299,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306579
300,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.298333
301,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.232695
302,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.244792
303,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.303628
304,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.297467
305,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.269059
306,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27528
307,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.327495
308,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.243379
309,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.294619
310,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.260901
311,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.260204
312,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.319445
313,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.307144
314,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.306608
315,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.328747
316,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.270945
317,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.300688
318,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.256038
319,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284587
320,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.264144
321,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274365
322,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.296782
323,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.23318
324,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.364157
325,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.224729
326,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.215362
327,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.322115
328,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.305625
329,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.298085
330,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.298276
331,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.269449
332,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.229624
333,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.273411
334,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.239528
335,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.31388
336,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.263382
337,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.232853
338,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.255538
339,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.288582
340,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.244632
341,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233
342,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280966
343,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.281023
344,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.247188
345,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248803
346,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280442
347,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.204836
348,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.206664
349,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.23767
350,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.260395
351,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.283991
352,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.336391
353,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.308595
354,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.262803
355,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.269144
356,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.224886
357,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.269167
358,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.25701
359,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.284522
360,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.232775
361,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.293371
362,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.338973
363,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.265106
364,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.288077
365,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.301056
366,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.251945
367,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.280084
368,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.270567
369,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.274395
370,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.235215
371,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.271103
372,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.29241
373,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.335301
374,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.313167
375,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.366893
376,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.235469
377,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.309254
378,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.27825
379,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.368541
380,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.233627
381,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.232213
382,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.243027
383,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.174425
384,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.246341
385,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.235839
386,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.276768
387,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.285379
388,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.354428
389,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.312769
390,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.244039
391,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.229571
392,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.292136
393,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.21059
394,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.352416
395,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.323075
396,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.248887
397,regulated,Regulated (Black Warrior),Settings 1,1.0,5,0.192909
